City,date,AvgTemperature,PredictedTemps
BridgeportConnecticut,2018-07-01,74.02857142857144,73.16109654232898
BridgeportConnecticut,2018-07-08,76.20000000000002,74.43601525322403
BridgeportConnecticut,2018-07-15,75.35714285714286,75.02707428833978
BridgeportConnecticut,2018-07-22,74.52857142857144,75.6438358390129
BridgeportConnecticut,2018-07-29,77.17142857142858,73.92195312315931
BridgeportConnecticut,2018-08-05,77.87142857142858,73.72500441008447
BridgeportConnecticut,2018-08-12,79.38571428571427,73.01963375469937
BridgeportConnecticut,2018-08-19,77.14285714285715,72.73071228474204
BridgeportConnecticut,2018-08-26,72.64285714285715,72.15384791415836
BridgeportConnecticut,2018-09-02,77.75714285714285,69.97316480563104
BridgeportConnecticut,2018-09-09,74.84285714285714,67.52819505054181
BridgeportConnecticut,2018-09-16,69.24285714285713,65.96138850352287
BridgeportConnecticut,2018-09-23,69.87142857142858,64.23767868140159
BridgeportConnecticut,2018-09-30,63.21428571428572,60.398170834459535
BridgeportConnecticut,2018-10-07,66.82857142857142,57.954709260866
BridgeportConnecticut,2018-10-14,63.771428571428565,56.7302277494647
BridgeportConnecticut,2018-10-21,52.42857142857143,53.92418059426526
BridgeportConnecticut,2018-10-28,46.02857142857143,50.569426035576875
BridgeportConnecticut,2018-11-04,54.25714285714286,50.25664456085805
BridgeportConnecticut,2018-11-11,48.114285714285714,45.232078440529776
BridgeportConnecticut,2018-11-18,39.45714285714286,43.76025856318583
BridgeportConnecticut,2018-11-25,35.92857142857143,40.53958083000258
BridgeportConnecticut,2018-12-02,41.77142857142858,40.477003659758246
BridgeportConnecticut,2018-12-09,35.7,37.033157719333886
BridgeportConnecticut,2018-12-16,36.54285714285714,36.686806555348085
BridgeportConnecticut,2018-12-23,39.642857142857146,37.51159945418045
BridgeportConnecticut,2018-12-30,38.74285714285714,32.08251385549515
BridgeportConnecticut,2019-01-06,40.55714285714286,28.251414272827173
BridgeportConnecticut,2019-01-13,31.6,32.04253611848906
BridgeportConnecticut,2019-01-20,29.87142857142857,31.00076814302295
BridgeportConnecticut,2019-01-27,29.942857142857147,33.02688236123181
BridgeportConnecticut,2019-02-03,24.442857142857147,32.03446735635352
BridgeportConnecticut,2019-02-10,36.471428571428575,31.925493070286947
BridgeportConnecticut,2019-02-17,35.82857142857143,33.84912677588511
BridgeportConnecticut,2019-02-24,34.542857142857144,36.98817841029079
BridgeportConnecticut,2019-03-03,31.685714285714287,38.035680891136906
BridgeportConnecticut,2019-03-10,28.814285714285717,41.254282323978806
BridgeportConnecticut,2019-03-17,42.31428571428571,40.17016100884976
BridgeportConnecticut,2019-03-24,39.8,42.54611700323838
BridgeportConnecticut,2019-03-31,44.68571428571428,46.366303695267085
BridgeportConnecticut,2019-04-07,45.18571428571429,47.68563906106783
BridgeportConnecticut,2019-04-14,49.557142857142864,52.173809986906086
BridgeportConnecticut,2019-04-21,54.642857142857146,52.78792709015944
BridgeportConnecticut,2019-04-28,54.099999999999994,55.424126766241486
BridgeportConnecticut,2019-05-05,51.15714285714286,57.97581990634493
BridgeportConnecticut,2019-05-12,56.5,59.224638572626766
BridgeportConnecticut,2019-05-19,56.04285714285714,62.65394261509898
BridgeportConnecticut,2019-05-26,65.3142857142857,66.07170377222447
BridgeportConnecticut,2019-06-02,64.17142857142858,65.9215016291398
BridgeportConnecticut,2019-06-09,66.72857142857143,68.21798580186491
BridgeportConnecticut,2019-06-16,65.82857142857144,71.450314952626
BridgeportConnecticut,2019-06-23,70.01428571428572,73.190347081964
BridgeportConnecticut,2019-06-30,75.92857142857143,74.29234339271811
BridgeportConnecticut,2019-07-07,76.5,75.40123427775887
BridgeportConnecticut,2019-07-14,77.38571428571427,75.93233013722744
BridgeportConnecticut,2019-07-21,78.87142857142858,76.42699964099198
BridgeportConnecticut,2019-07-28,76.11428571428571,74.62484649039223
BridgeportConnecticut,2019-08-04,78.39999999999998,74.33942403798022
BridgeportConnecticut,2019-08-11,74.54285714285713,73.59445947296342
BridgeportConnecticut,2019-08-18,74.55714285714285,73.22699398103661
BridgeportConnecticut,2019-08-25,75.39999999999998,72.61999362900292
BridgeportConnecticut,2019-09-01,69.71428571428571,70.3307701207032
BridgeportConnecticut,2019-09-08,68.97142857142858,67.8973650113783
BridgeportConnecticut,2019-09-15,69.71428571428572,66.28635104729636
BridgeportConnecticut,2019-09-22,64.65714285714286,64.5823820934126
BridgeportConnecticut,2019-09-29,70.01428571428572,60.67082322345863
BridgeportConnecticut,2019-10-06,62.257142857142846,58.23545192544463
BridgeportConnecticut,2019-10-13,60.385714285714286,56.96996482147526
BridgeportConnecticut,2019-10-20,55.3,54.140277544358206
BridgeportConnecticut,2019-10-27,57.24285714285714,50.77708432384459
BridgeportConnecticut,2019-11-03,54.64285714285715,50.438006295970816
BridgeportConnecticut,2019-11-10,44.10000000000001,45.342004296670126
BridgeportConnecticut,2019-11-17,38.7,43.8883951524578
BridgeportConnecticut,2019-11-24,42.91428571428572,40.648771418147454
BridgeportConnecticut,2019-12-01,40.99999999999999,40.59097682877036
